Id,ActivityDateTime,TotalIntensity,AverageIntensity
5577150313,2016-04-01 00:00:00,1,0.016667
5577150313,2016-04-01 01:00:00,0,0.0
5577150313,2016-04-01 02:00:00,0,0.0
5577150313,2016-04-01 03:00:00,0,0.0
5577150313,2016-04-01 04:00:00,0,0.0
5577150313,2016-04-01 05:00:00,21,0.35
5577150313,2016-04-01 06:00:00,97,1.616667
5577150313,2016-04-01 07:00:00,14,0.233333
5577150313,2016-04-01 08:00:00,5,0.083333
5577150313,2016-04-01 09:00:00,8,0.133333
5577150313,2016-04-01 10:00:00,18,0.3
5577150313,2016-04-01 11:00:00,81,1.35
5577150313,2016-04-01 12:00:00,0,0.0
5577150313,2016-04-01 13:00:00,0,0.0
5577150313,2016-04-01 14:00:00,2,0.033333
5577150313,2016-04-01 15:00:00,4,0.066667
5577150313,2016-04-01 16:00:00,0,0.0
5577150313,2016-04-01 17:00:00,49,0.816667
5577150313,2016-04-01 18:00:00,11,0.183333
5577150313,2016-04-01 19:00:00,137,2.283333
5577150313,2016-04-01 20:00:00,42,0.7
5577150313,2016-04-01 21:00:00,10,0.166667
5577150313,2016-04-01 22:00:00,1,0.016667
5577150313,2016-04-01 23:00:00,0,0.0
5577150313,2016-04-02 00:00:00,7,0.116667
5577150313,2016-04-02 01:00:00,0,0.0
5577150313,2016-04-02 02:00:00,2,0.033333
5577150313,2016-04-02 03:00:00,0,0.0
5577150313,2016-04-02 04:00:00,0,0.0
5577150313,2016-04-02 05:00:00,2,0.033333
5577150313,2016-04-02 06:00:00,23,0.383333
5577150313,2016-04-02 07:00:00,111,1.85
5577150313,2016-04-02 08:00:00,5,0.083333
5577150313,2016-04-02 09:00:00,17,0.283333
5577150313,2016-04-02 10:00:00,121,2.016667
5577150313,2016-04-02 11:00:00,180,3.0
5577150313,2016-04-02 12:00:00,164,2.733333
5577150313,2016-04-02 13:00:00,14,0.233333
5577150313,2016-04-02 14:00:00,62,1.033333
5577150313,2016-04-02 15:00:00,1,0.016667
5577150313,2016-04-02 16:00:00,4,0.066667
5577150313,2016-04-02 17:00:00,32,0.533333
5577150313,2016-04-02 18:00:00,10,0.166667
5577150313,2016-04-02 19:00:00,45,0.75
5577150313,2016-04-02 20:00:00,21,0.35
5577150313,2016-04-02 21:00:00,0,0.0
5577150313,2016-04-02 22:00:00,9,0.15
5577150313,2016-04-02 23:00:00,1,0.016667
5577150313,2016-04-03 00:00:00,1,0.016667
5577150313,2016-04-03 01:00:00,0,0.0
5577150313,2016-04-03 02:00:00,0,0.0
5577150313,2016-04-03 03:00:00,1,0.016667
5577150313,2016-04-03 04:00:00,2,0.033333
5577150313,2016-04-03 05:00:00,31,0.516667
5577150313,2016-04-03 06:00:00,43,0.716667
5577150313,2016-04-03 07:00:00,52,0.866667
5577150313,2016-04-03 08:00:00,0,0.0
5577150313,2016-04-03 09:00:00,20,0.333333
5577150313,2016-04-03 10:00:00,38,0.633333
5577150313,2016-04-03 11:00:00,34,0.566667
5577150313,2016-04-03 12:00:00,12,0.2
5577150313,2016-04-03 13:00:00,28,0.466667
5577150313,2016-04-03 14:00:00,6,0.1
5577150313,2016-04-03 15:00:00,54,0.9
5577150313,2016-04-03 16:00:00,31,0.516667
5577150313,2016-04-03 17:00:00,37,0.616667
5577150313,2016-04-03 18:00:00,43,0.716667
5577150313,2016-04-03 19:00:00,18,0.3
5577150313,2016-04-03 20:00:00,8,0.133333
5577150313,2016-04-03 21:00:00,7,0.116667
5577150313,2016-04-03 22:00:00,0,0.0
5577150313,2016-04-03 23:00:00,2,0.033333
5577150313,2016-04-04 00:00:00,0,0.0
5577150313,2016-04-04 01:00:00,0,0.0
5577150313,2016-04-04 02:00:00,0,0.0
5577150313,2016-04-04 03:00:00,2,0.033333
5577150313,2016-04-04 04:00:00,0,0.0
5577150313,2016-04-04 05:00:00,7,0.116667
5577150313,2016-04-04 06:00:00,105,1.75
5577150313,2016-04-04 07:00:00,51,0.85
5577150313,2016-04-04 08:00:00,21,0.35
5577150313,2016-04-04 09:00:00,23,0.383333
5577150313,2016-04-04 10:00:00,12,0.2
5577150313,2016-04-04 11:00:00,17,0.283333
5577150313,2016-04-04 12:00:00,26,0.433333
5577150313,2016-04-04 13:00:00,3,0.05
5577150313,2016-04-04 14:00:00,4,0.066667
5577150313,2016-04-04 15:00:00,8,0.133333
5577150313,2016-04-04 16:00:00,51,0.85
5577150313,2016-04-04 17:00:00,12,0.2
5577150313,2016-04-04 18:00:00,20,0.333333
5577150313,2016-04-04 19:00:00,49,0.816667
5577150313,2016-04-04 20:00:00,33,0.55
5577150313,2016-04-04 21:00:00,5,0.083333
5577150313,2016-04-04 22:00:00,0,0.0
5577150313,2016-04-04 23:00:00,3,0.05
5577150313,2016-04-05 00:00:00,0,0.0
5577150313,2016-04-05 01:00:00,0,0.0
5577150313,2016-04-05 02:00:00,0,0.0
5577150313,2016-04-05 03:00:00,5,0.083333
5577150313,2016-04-05 04:00:00,0,0.0
5577150313,2016-04-05 05:00:00,1,0.016667
5577150313,2016-04-05 06:00:00,135,2.25
5577150313,2016-04-05 07:00:00,45,0.75
5577150313,2016-04-05 08:00:00,8,0.133333
5577150313,2016-04-05 09:00:00,5,0.083333
5577150313,2016-04-05 10:00:00,64,1.066667
5577150313,2016-04-05 11:00:00,0,0.0
5577150313,2016-04-05 12:00:00,11,0.183333
